Y,r,I,rpBANK,H,C,K,lev,n,Equity,q,LA,A,mu
16915.191,0.0424,2762.518,0.98,95.765,11422.9190854437,58882.184,52736.289,19936.815,151.21,0.898191870736316,176.632287370125,25.9350031332567,-0.232758939901415
16843.003,0.0261,2686.998,1.29333333333333,95.434,11457.876653496,59951.996,53597.233,18409.65,152.21,0.896541342843698,176.488494666471,25.7484565709366,0.454325349817383
16943.291,0.02,2641.85,1.39,94.874,11545.5891403953,59951.996,53871.695,18268.138,152.68,0.901127211844623,178.587294727744,26.0089032837963,0.666298162602966
16854.295,0.0181,2589.254,1.55333333333333,93.829,11492.299686648,59951.996,54707.936,16993.567,153,0.915081059186086,179.62778032378,26.0741978568057,1.02445912213724
16485.35,0.0016,2338.938,3.02333333333334,91.428,11180.0097051223,59951.996,54818.411,15260.808,154.15,0.916942965501933,180.309642560266,25.9715249622747,4.24790775794563
16298.262,0.0018,2073.135,2.94,88.968,11084.9745321482,60486.876,54600.67,14423.513,155.22,0.905252405497021,183.19240625843,26.1034006623518,4.06517257450978
16269.145,0.0021,1952.641,2.47,86.791,11092.69876465,60486.876,54480.189,13672.85,155.31,0.903262039851422,187.4519823484,26.5135185911061,3.03454613993159
16326.281,0.0015,1946.867,1.39333333333333,85.717,11230.8403294878,60486.876,54466.08,14327.298,156.59,0.903049944255676,190.467246870516,26.8398374492077,0.673607569940403
16502.754,0.0012,2128.516,1.12666666666667,85.713,11269.2986111893,60486.876,54305.923,14264.688,156.79,0.900405453242452,192.53501802527,27.1308525950146,0.0888549829456826
16582.71,0.0016,2174.335,0.993333333333333,86.085,11345.7724965183,61035.284,54119.573,14594.027,156.98,0.889265183070173,192.631817389789,27.106404450559,-0.203521310551678
16743.162,0.0018,2288.469,1.13333333333333,86.744,11409.4455186597,61035.284,54061.686,14631.411,157.19,0.888320205080065,193.018099234529,27.2227104073134,0.103473797620551
16872.266,0.0019,2390.072,1.19666666666667,87.159,11478.0584558127,61035.284,54430.761,15209.287,156.73,0.894359580599314,193.580307254558,27.3408574546467,0.242352537031793
16960.864,0.0018,2383.297,1.05666666666667,87.585,11555.3310289817,61035.284,54935.87,14007.639,156.51,0.902631664661379,193.650328252555,27.3908451672014,-0.0646425711404301
16920.632,0.0014,2338.901,0.96,87.73,11637.4523289906,61657.132,55151.584,14630.593,156.99,0.897034490673358,192.871674455716,27.2115640701837,-0.276615383926018
17035.114,0.0009,2434.538,0.813333333333333,88.602,11686.7244815277,61657.132,55266.171,14595.008,157.66,0.898903812133201,192.265569625968,27.2063359889409,-0.598229306773114
17031.313,0.0008,2445.296,1,88.84,11706.026601071,61657.132,55525.094,13456.313,158.74,0.903120729001797,191.70771049077,27.1493685222511,-0.18890249587681
17222.583,0.0007,2633.829,1.32666666666667,89.675,11751.0311463826,61657.132,55869.472,13987.201,159,0.908710317567155,192.055567326457,27.2746550474904,0.527419423191722
17367.01,0.0013,2692.179,1.30333333333333,90.341,11844.6917049446,62424.416,56241.741,14464.369,159.18,0.903507387237712,192.238407810407,27.2600683778401,0.476253571829684
17444.525,0.0016,2752.614,1.29333333333333,90.473,11845.2377108291,62424.416,56404.203,14274.374,157.78,0.906087499480972,192.8147071502,27.3537559065353,0.454325349817382
17469.65,0.0014,2759.86,1.41666666666667,90.985,11838.7370607063,62424.416,57115.492,14770.906,158.17,0.917488150790229,192.005825136011,27.2848758566632,0.724773421302441
17489.852,0.0016,2736.423,1.03333333333333,91.507,11892.9573414283,62424.416,57570.091,14786.564,159.18,0.924786721272651,191.131301430492,27.2070636553812,-0.115808422502471
17662.4,0.0014,2845.38,0.933333333333333,92.128,11964.6756773961,63225.104,58027.886,15169.824,160.87,0.920342590500128,191.715873567211,27.2415126026039,-0.335090642625491
17709.671,0.0009,2882.489,0.873333333333334,92.494,11979.2094091742,63225.104,58066.099,15379.274,NaN,0.920342590500128,191.468322269553,27.2385482251319,-0.466659974699302
17860.45,0.0008,2998.991,0.896666666666667,92.863,12018.4136783111,63225.104,58453.791,16425.629,163.63,0.927122571439345,192.331176033512,27.3936869402606,-0.415494123337265
18016.147,0.0009,3027.805,0.763333333333333,93.126,12104.9074675665,63225.104,59482.165,16984.788,163.58,0.943387060304401,193.459903786268,27.5776520752619,-0.707870416834626
17953.974,0.0008,2998.148,0.676666666666666,93.498,12158.1001795632,64118.472,59945.448,16943.959,164.09,0.937476145719754,192.025219790798,27.291157474593,-0.89791500760791
18185.911,0.001,3121.321,0.603333333333333,94.472,12260.4079725942,64118.472,60399.327,17773.51,163.84,0.944551002400681,192.500539842493,27.4434246668314,-1.05872196903146
18406.941,0.0009,3193.152,0.623333333333334,95.234,12364.6072410727,64118.472,60862.45,17717.962,164.82,0.95178921294319,193.281191591238,27.6209430888523,-1.01486552500685
18500.031,0.0012,3203.351,0.863333333333334,96.202,12478.1155109376,64118.472,61636.34,17791.107,166.52,0.963885415110953,192.304016548512,27.564451128794,-0.488588196711603
18666.621,0.0011,3314.895,0.93,96.692,12524.4272442621,65053.556,61863.476,18274.665,167.05,0.953530134463364,193.052382823812,27.594096163839,-0.342400049962925
18782.243,0.0013,3328.049,0.936666666666666,96.951,12601.2227074236,65053.556,62385.719,18517.162,167.1,0.96155879626319,193.729234355499,27.7129465492487,-0.327781235288057
18857.418,0.0014,3335.27,1.15666666666667,97.079,12689.1917649591,65053.556,62719.273,17848.53,168.67,0.96671030558268,194.248169016986,27.7982383490182,0.154639648982587
18892.206,0.0024,3315.334,1.42666666666667,97.779,12731.3237208063,65053.556,63310.558,17838.031,169.99,0.975819799919931,193.213328015218,27.7095663757216,0.746701643314744
19001.69,0.0036,3301.09,1.38,98.027,12844.7895298269,65971.328,63996.42,17612.507,170.48,0.972648299576446,193.841390637273,27.7045555512746,0.644369940590665
19062.709,0.0038,3287.033,1.07666666666667,98.285,12902.6620075592,65971.328,64549.48,18186.177,169.79,0.981021179382656,193.953390649641,27.7422525644369,-0.0207861271158271
19197.938,0.004,3301.079,0.92,98.755,13003.8878162788,65971.328,65165.876,18983.065,169.82,0.990365026455129,194.399655713635,27.8456270207266,-0.364328271975225
19304.352,0.0054,3391.749,0.83,98.85,13067.5616366321,65971.328,65595.215,19073.539,169.92,0.996874505845934,195.289347496206,27.9810896358914,-0.561682270085945
19398.343,0.0079,3382.703,0.700000000000001,99.19,13177.6899084415,66940.28,66040.355,19475.378,169.63,0.989090350383954,195.567526968444,27.9277611643898,-0.846749156245869
19506.949,0.0104,3435.929,0.696666666666667,99.816,13235.0526843954,66940.28,66692.424,20748.477,170.02,0.998837232231476,195.429079506292,27.9603216027462,-0.854058563583304
19660.766,0.0115,3493.166,0.679999999999999,100.06,13303.5133084403,66940.28,67540.155,21148.328,171.06,1.01151675792214,196.489766140316,28.1325364384781,-0.890605600270476
19882.352,0.013,3558.859,0.71,100.691,13446.785012602,66940.28,68597.723,21926.153,172.33,1.0273344091181,197.459077772591,28.3243665378148,-0.824820934233569
20044.077,0.0151,3612.936,0.723333333333334,101.225,13552.7603309045,68005.632,69322.917,21910.659,171.81,1.02189664232515,198.015085206224,28.3151972207784,-0.795583304883832
20150.476,0.0182,3612.389,0.84,101.739,13600.7813111929,68005.632,70014.47,22084.142,172.49,1.0320756963188,198.060488111737,28.3645590552337,-0.539754048073642
20276.154,0.0195,3722.248,0.903333333333332,102.18,13650.4274837439,68005.632,70763.078,22309.439,171.89,1.04307490297274,198.435642982971,28.455005371081,-0.400875308662398
20304.874,0.0227,3724.752,1.01333333333333,102.497,13686.0181131636,68005.632,71674.698,21127.509,172.52,1.05648923312704,198.102129818434,28.4336382301401,-0.159664866527073
20431.641,0.0241,3755.53,1.14,102.52,13694.4400356147,69059.464,72262.974,22408.288,173.45,1.04889930799347,199.294196254389,28.4753989311568,0.118092612295417
20602.275,0.0238,3790.049,1.00333333333333,102.86,13817.0476208816,69059.464,72899.285,23657.019,175.24,1.05813918567338,200.294332101886,28.6464686594527,-0.181593088539376
20843.322,0.0204,3819.94,0.920000000000001,103.146,13962.9549293612,69059.464,74037.52,23713.664,175.88,1.07463040836807,202.075911814321,28.9252529940243,-0.364328271975224
20985.448,0.0155,3770.431,0.886666666666666,102.899,14065.8253281794,69059.464,74886.196,24439.815,177.11,1.08693728060212,203.942195745343,29.171401810539,-0.437422345349568
