Y,r,I,rpBANK,H,C,K,lev,n,Equity,q,LA,A,mu,log_Y,log_C,log_I,log_r,log_q,log_LA,log_A,log_H,log_rpBANK
8173.67,0.1106,1192.381,1.48666666666667,71.147,5047.14300275201,32068.518,7147.191,4031.891,159.24,0.227838124605571,114.884253728197,18.5102234018886,0.878270975388558,0.017130055100596,0.0150688453356285,0.0320024651702218,0.109790647752293,0.0379902865678783,0.00420018194129579,0.00806284292192716,0.0129298731593046,0.0181000416436202
8252.465,0.113,1218.184,1.72,71.456,5078.74765108808,32068.518,7398.958,4140.971,159.7,0.235703377374658,115.490161777877,18.6319075153472,1.38992948900894,0.00959393118098717,0.00624236465609584,0.0214090767570916,0.0214677296241059,0.0339387419646828,0.0052602147288292,0.00655237304993594,0.00433371645215175,0.145787813461496
8320.199,0.0838,1202.383,1.25666666666667,71.922,5137.87729889092,32068.518,7695.515,4214.805,160.7,0.244982165998441,115.683643391452,18.6993707653461,0.373921869105607,0.00817422921914179,0.0115753114775181,-0.0130558042348747,-0.298954811224303,0.0386112770881932,0.00167390642387488,0.00361430556608022,0.00650032279527046,-0.313861578033549
8400.82,0.0858,1169.416,1.13666666666666,72.497,5234.9525360448,33127.016,7920.737,4224.208,160.29,0.243940685753284,115.87817426928,18.5941973086619,0.11078320495798,0.00964314731614735,0.0187177603241171,-0.0278009420707575,0.0235859990058795,-0.00426031148548689,0.00168016407502591,-0.00564031498945239,0.00796298324111966,-0.100362710164502
8474.787,0.0753,1189.334,1.39,72.991,5291.77157741032,33127.016,8203.36,4262.99,161.3,0.252502670328049,116.107287199792,18.6687851473356,0.66629816260297,0.00876620007486117,0.0107953039431745,0.0168890076915771,-0.130538871688069,0.0344967196494361,0.00197523589239168,0.00400332627039024,0.00679096418247127,0.20120374451529
8604.22,0.0792,1181.226,1.44,73.196,5401.98493645065,33127.016,8488.61,4249.905,161.75,0.261127051105358,117.550412590852,18.9166746865919,0.775939272664473,0.0151572603738277,0.0206133852866799,-0.00684060442851653,0.0504961640145325,0.0335852505090599,0.0123526315849949,0.0131909059907493,0.00280462878883192,0.0353393664453089
8668.188,0.0827,1224.763,1.4,73.563,5421.20969786811,33127.016,8966.473,4549.648,162.3,0.275568828777092,117.833530443293,18.9904625360739,0.688226384615271,0.00740699182869164,0.00355251518347899,0.0361944737322233,0.0432433032092652,0.0538303548866625,0.00240558455535478,0.00389308969672442,0.00500140727333243,-0.0281708769666964
8749.127,0.0748,1224.404,1.44333333333333,73.457,5480.25774396398,34181.992,9151.058,4628.364,162.02,0.2724556836828,119.105422219802,19.0083223429034,0.783248680001912,0.00929415155361291,0.0108331513873274,-0.000293160901295053,-0.100401717049214,-0.0113614574209986,0.0107361324863779,0.000940019961244598,-0.0014419809327606,0.0304830167250736
8788.524,0.0692,1203.028,1.27,73.258,5513.36259401767,34181.992,9473.137,4672.976,162.2,0.281883425635346,119.966747658959,19.130253369431,0.403159498455343,0.00449285554507561,0.00602257474774603,-0.0176124831228748,-0.0778170223568075,0.0340176290086109,0.00720559960037459,0.00639412666454575,-0.00271274405529631,-0.127938352875787
8872.601,0.0589,1170.667,1.35,73.628,5617.45585488437,34181.992,9798.694,4643.137,162.99,0.291430762724419,120.505799424132,19.2451711495434,0.57858527455376,0.00952120945350288,0.0187041583762184,-0.0272680400243885,-0.161159771966083,0.0333088557076398,0.00448327823373873,0.00598915191482519,0.00503793121975971,0.0610876919798382
8920.193,0.0691,1174.171,1.41666666666667,74.183,5655.20167005018,34181.992,10195.569,4782.145,163.77,0.303064227503184,120.245784074518,19.2467251608966,0.724773421302439,0.00534959416711622,0.00669690463896089,0.00298869483369923,0.159713640116083,0.039142298097093,-0.00216003107379148,8.0744858165005e-05,0.00750962524090681,0.04820210181788
8986.367,0.0613,1205.858,1.29333333333333,75.107,5677.69087310649,35208.604,10382.66,4955.527,165.25,0.299583306398629,119.647529524545,19.0527187198753,0.454325349817381,0.00739106799354161,0.00396884246293538,0.0266289800858104,-0.119774887831458,-0.0115522245442672,-0.00498768207606304,-0.010131118405639,0.0123787500696064,-0.0910838293011484
9083.256,0.0673,1206.486,1.19,75.537,5770.58134260659,35208.604,10678.352,5023.797,164.46,0.307959156801559,120.24909646928,19.1811754651805,0.227733722356927,0.0107240675207461,0.0162282144131201,0.000520655440673146,0.0933803937085163,0.0275746359333144,0.00501522856482595,0.00671954721778434,0.005708838955921,-0.0832695578436317
9162.024,0.0722,1206.662,1.15,76.063,5847.27552379345,35208.604,10941.803,5110.779,164.57,0.315444855467715,120.453098089741,19.253560949861,0.140020834307721,0.0086343963330755,0.0132030022699912,0.000145867555833235,0.0702798092480985,0.02401671574,0.00169505450234642,0.00376667447288304,0.00693934183072553,-0.0341913647482794
9319.332,0.0677,1288.881,1.16666666666667,76.849,5863.47835795899,35208.604,11226.544,4979.58,164.98,0.323543756520423,121.268097177582,19.4435143979442,0.176567870994893,0.0170238373325571,0.00276717360269707,0.065916530308936,-0.0643538659805514,0.0253504823840458,0.00674332406199607,0.00981753644583705,0.0102805132705646,0.0143887374521026
9367.502,0.0658,1227.008,1.19666666666667,76.92,5967.4218504773,36224.176,11425.105,5040.573,163.54,0.319914661412864,121.782397295892,19.3661552530921,0.242352537031793,0.00515551288075322,0.0175719793531393,-0.049195714392793,-0.0284663415869577,-0.0112800873745691,0.00423204969837521,-0.00398659653653821,0.000923463182378903,0.0253892340048195
9490.594,0.0751,1256.243,1.17,78.002,6019.30292945178,36224.176,11706.043,5124.505,162.56,0.327643146389306,121.67116227789,19.4293542842164,0.18387727833232,0.0130547376755246,0.00865647687763804,0.0235468349955008,0.132200720438818,0.023870770648986,-0.000913808990406828,0.003258061965556,0.0139685466659287,-0.022536165022416
9546.206,0.0819,1263.222,1.11,78.211,6074.98915793278,36224.176,11960.847,5164.228,NaN,0.327643146389306,122.057076370332,19.5065538458712,0.0523079462585108,0.00584259520477559,0.00920874435620078,0.00554007922334687,0.0866784320889344,0,0.00316675997077454,0.00396547385309853,0.00267583523400639,-0.0526437334854218
9673.405,0.0876,1282.499,1.00333333333333,79.09,6153.10294170339,36224.176,12336.729,5326.688,161.06,0.345012375160721,122.308825388798,19.6121062524883,-0.181593088539375,0.0132365693740351,0.0127762934230269,0.0151449184416208,0.067282007083322,0.0516552386274198,0.00206042746322233,0.00539653774005133,0.0111761419108118,-0.101032225231571
9771.725,0.0985,1326.029,0.956666666666667,79.882,6188.24822695035,37242.084,12591.494,5565.988,162.1,0.342451136730157,122.326994817356,19.5112465076694,-0.283924791263451,0.0101126439262114,0.00569554820601148,0.0333782434757071,0.117275550235698,-0.00745130537596483,0.000148542667023577,-0.00515599820279888,0.00996410125918867,-0.047628048989251
9846.293,0.0953,1313.202,0.880000000000001,80.191,6234.56956895493,37242.084,12826.017,5593.312,161.31,0.348727181862325,122.785512089885,19.6069746210583,-0.452041160024433,0.00760202780034724,0.00745749594699241,-0.00972033216969592,-0.0330267375178868,0.018160921600135,0.0037412844668312,0.00489430765090493,0.00386074333350894,-0.0835331126133042
9919.228,0.0902,1301.412,0.92,80.374,6286.28977480537,37242.084,13034.268,5623.046,160.08,0.354285973899849,123.413392390574,19.7206533540925,-0.364328271975226,0.00738005651708917,0.00826149365608231,-0.0090186007660682,-0.0550003835915787,0.0158145202419868,0.00510060484035701,0.00578112922116292,0.00227945167673482,0.0444517625708327
9938.767,0.0845,1291.758,0.923333333333334,80.378,6318.42423823194,37242.084,13345.611,5651.74,157.97,0.362589295486257,123.650339645177,19.7587997131565,-0.357018864637791,0.00196787302096091,0.00509881192263606,-0.00744574756052252,-0.0652778927054496,0.0231663534504947,0.00191810692162164,0.00193246704153971,4.97660993437066e-05,0.00361664047018918
10047.386,0.0828,1304.586,0.903333333333332,80.614,6395.12061591103,38181.148,13568.126,5592.04,158.5,0.359513181740895,124.63574565212,19.7860237363651,-0.400875308662398,0.0108695324620918,0.0120654481468261,0.00988166774884647,-0.0203234729719144,-0.0085199329737411,0.00793770766276047,0.00137686934140557,0.00293182479932774,-0.0218986853076398
10083.855,0.0829,1304.993,0.913333333333334,80.263,6401.18602487099,38181.148,13792.566,5638.238,157.73,0.365371308374489,125.635161905237,19.9186794751946,-0.378947086650093,0.00362312883683913,0.000947993758586563,0.000311927711940996,0.00120700075003555,0.0161632763563149,0.00798671787625072,0.00668214199831629,-0.00436358903940803,0.0110092855083715
